idOseba,Kratica,PostnaStevilka,Ulica,HisnaStevilka,Ime,Priimek,DatumRojstva
423,JO,00800,Marcy,055,Damien,Kinnock,11/11/1981
424,CN,01900,Algoma,1910,Vally,McMennum,9/9/1986
425,MR,95100,Towne,89826,Alex,Frapwell,1/1/1976
426,CH,23000,Kinsman,07,Suzanna,Cockling,8/31/1990
427,BO,20000,Cascade,4248,Malinde,Etheredge,5/25/1973
428,JO,41700,Memorial,93,Ricardo,Kiss,3/6/1984
429,MR,60000,Corry,03,Jacquette,Darker,10/6/1983
430,BO,69720,Melvin,90946,Thacher,Cabera,8/21/1975
431,JO,56719,Melby,92,Diego,Caudrelier,7/9/1990
432,CH,10973,Chive,4,Dicky,Foulis,3/23/1984
433,MR,11000,Hollow Ridge,431,Chick,Devonald,9/3/1984
434,CN,63000,Hovde,0302,Elroy,Martinec,5/24/1988
435,CN,03738,Farwell,08,Jdavie,Fraine,11/13/1974
436,BO,80000,Glacier Hill,78661,Viola,Golightly,1/17/1992
437,JO,29860,East,94,Erda,Meier,3/14/1991
438,JO,63000,Thompson,2095,Ag,Manon,8/17/1975
439,JO,53000,Forest Run,5,Jodie,Racine,5/7/1978
440,MR,51000,Fairfield,798,Cortie,Quye,11/22/1979
441,CH,35810,Ridgeway,9472,Latrena,Bulfoy,7/4/1975
442,ID,80000,Hallows,325,Keven,Crinkley,10/1/1975
443,PL,50000,Graceland,44,Cathrine,Norton,3/6/1980
444,BR,93800,Oriole,29,Sim,Treacy,6/11/1983
445,SE,10000,Raven,57,Emmalee,Palle,8/3/1979
446,ID,90000,Sheridan,80,Dimitri,Rochester,11/5/1984
447,BR,55264,Daystar,97016,Johnathan,Duffit,7/7/1989
448,CN,40000,Porter,3531,Edwin,Kynoch,5/5/1990
449,SE,56290,Mifflin,6,Randall,Cazalet,3/19/1982
450,SE,15500,Vahlen,8,Rawley,Norrey,2/11/1973
451,CH,70000,Veith,55239,Hallie,Matic,5/9/1983
452,BR,10000,Russell,715,Augustine,Chillcot,7/9/1991
453,CN,57000,Blue Bill Park,47,Maxim,Havill,11/24/1980
454,JO,95000,Gulseth,2539,Joey,Pengilley,9/13/1986
455,MR,30000,Fisk,17751,Petrina,Chard,4/5/1979
456,JO,59900,Aberg,6,Saul,Bowlesworth,2/25/1977
457,JO,40000,Oxford,9593,Thedric,Prettjohn,7/31/1976
458,CN,12000,Bluejay,49108,Brit,Jacobs,5/30/1975
459,PL,53000,Melrose,55,Shela,MacCoughan,11/10/1992
460,PL,97880,Farwell,3376,Gayelord,Flowerdew,6/26/1979
461,BO,23730,Transport,6111,Raff,Davidovics,4/12/1988
462,ID,48100,Barnett,6,Clarabelle,Bargh,3/2/1989
463,PL,01732,Burrows,6568,Barbabra,Haton,10/10/1977
464,ID,16818,Browning,0645,Irwinn,Creighton,1/11/1989
465,MR,15000,Vera,147,Gracie,Asel,4/26/1975
466,SE,25890,8th,9,Jeffy,Kielty,10/29/1985
467,MR,54670,Granby,4,Sarette,Berkley,7/6/1984
468,BO,96650,Ridgeview,55534,Malanie,Fandrich,5/12/1982
469,CN,87235,Scoville,0560,Blancha,Saph,8/21/1991
470,ID,74600,Division,64,Andie,Belford,3/17/1980
471,BO,90000,Mayfield,14,Karlotte,Bulbeck,11/19/1988
472,CH,75600,Gateway,748,Inglis,Manktelow,11/18/1986
473,MR,79000,Merry,984,Cece,Brownbridge,10/12/1986
474,BO,91250,Elmside,81,Petr,O'Leagham,2/11/1985
475,CH,80000,Florence,6910,Sayre,Olkowicz,3/26/1991
476,JO,11390,Pankratz,1,Carlie,Staniford,3/17/1984
477,MR,80000,Park Meadow,01141,Dacey,Bogges,7/1/1983
478,SE,77300,Summerview,06400,Giacobo,Jon,4/23/1977
479,ID,43000,Transport,8592,Ainsley,Haxell,11/4/1988
480,CN,71000,Thierer,4,Dolf,Sharples,8/13/1991
481,ID,42700,Waywood,0110,Stinky,Gumb,3/13/1976
482,PL,24317,Chive,93,Rosina,Peatheyjohns,6/6/1977
483,BR,36570,Sundown,260,Tedd,Avrahamof,3/23/1989
484,MR,08150,Hayes,962,Tedman,Twidle,2/1/1973
485,CH,70000,Hauk,1519,Wendy,Demageard,2/8/1980
486,ID,08200,Namekagon,3756,Gav,Luckey,9/26/1989
487,CH,30000,Caliangt,681,Davon,Beddin,1/31/1979
488,JO,47700,Banding,20,Teena,Doogood,3/26/1980
489,BO,91220,Banding,37304,Lynnette,Dowyer,2/6/1975
490,ID,20530,Chinook,60,Ketti,Palatino,2/26/1974
491,ID,81971,Eagle Crest,062,Gerrard,Charge,12/7/1987
492,CN,53050,5th,78644,Brion,Massot,11/19/1992
493,MR,20000,Stephen,263,Patin,Doogood,7/28/1989
494,SE,14150,Ohio,39193,Raye,Caunt,1/5/1990
495,ID,14849,Forest Run,8806,Kelley,Bagworth,6/6/1982
496,JO,23910,Park Meadow,22,Kelsy,Gelland,8/4/1979
497,CN,10000,Packers,888,Bert,Smewings,10/29/1986
498,BR,52000,Mockingbird,54845,Iolande,McGarrie,4/22/1982
499,BR,10000,Fordem,366,Joice,Willbond,5/19/1988
500,PL,58000,Walton,7,Al,Novelli,1/20/1983
501,CN,46146,Hallows,1291,Gertie,Goolding,10/3/1992
502,BR,49140,Lyons,69,Darcey,Lindbergh,3/26/1974
503,BO,69000,Sage,4309,Keary,Ferriby,12/30/1977
504,MR,04500,Gina,877,Alex,Francillo,11/28/1982
505,BR,09600,Banding,09,Binky,Pauncefoot,1/20/1974
506,JO,38814,Memorial,29139,Yancy,Schubart,4/26/1988
507,CN,14400,Lerdahl,19,Gard,McEttigen,7/1/1977
508,BO,08098,Fulton,14,Genevieve,Shalcras,5/5/1976
509,PL,50000,Atwood,1,Brandie,Pietraszek,9/15/1977
510,CN,40000,Moland,524,Bobbi,Womack,10/14/1983
511,ID,53320,Twin Pines,3,Wash,Pentelo,5/17/1989
512,JO,72330,Huxley,7703,Robinetta,Heilds,1/19/1975
513,SE,78100,Ramsey,219,Gordy,Chestnutt,4/10/1984
514,SE,31000,Thackeray,145,Brooke,Challes,12/27/1983
515,ID,86000,Longview,53800,Babbette,Freak,7/5/1980
516,CN,05600,Eggendart,217,Wyatt,Bulter,10/22/1989
517,BR,35061,Kedzie,41,Fran,Hartopp,9/24/1988
518,CN,00000,Monica,07,Wally,Horwell,11/2/1974
519,CN,58030,Golden Leaf,511,Kathryn,Navan,12/4/1977
520,BR,83000,Fremont,60,Randee,Habbergham,2/7/1982
521,CH,90000,International,5,Kaleena,Sommerlie,12/18/1983
522,CN,27000,Maple,75,Bard,Woodstock,8/17/1980
523,JO,00800,Hoard,740,Gertruda,Josephson,2/27/1987
524,CN,01900,Shasta,6384,Cyrus,Cattemull,9/23/1992
525,MR,95100,Marcy,99,Carney,Spillard,1/19/1983
526,CH,23000,Clove,3,Roman,Tupling,4/23/1977
527,BO,20000,Golden Leaf,36851,Skipper,Emmerson,11/6/1990
528,JO,41700,Kingsford,20,Avery,Nicholas,9/21/1973
529,MR,60000,Fuller,72586,Skye,Soulsby,3/6/1991
530,BO,69720,Calypso,3,Kylen,Rivers,10/7/1988
531,JO,56719,Paget,92066,Antons,Burman,6/20/1979
532,CH,10973,Melby,79741,Fionnula,Espinoy,1/8/1975
533,MR,11000,Menomonie,0764,Mose,Lennon,5/19/1987
534,CN,63000,Leroy,67,Celene,Sutlieff,8/16/1985
535,CN,03738,Sage,41,Tuckie,Sogg,9/30/1980
536,BO,80000,Pond,2829,Georgeta,Elloway,10/30/1983
537,JO,29860,Stang,79,Nata,Waterfield,7/9/1989
538,JO,63000,Sherman,55,Margit,Flori,11/8/1990
539,JO,53000,Kennedy,31807,Cleo,Noonan,10/10/1992
540,MR,51000,Mesta,271,Wildon,Redemile,11/1/1981
541,CH,35810,Center,64,Maximilian,Flucker,9/17/1990
542,ID,80000,West,55288,Bondon,Driffe,1/25/1977
543,PL,50000,Spohn,4,Maria,Puttick,1/31/1980
544,BR,93800,Shoshone,9,Lulu,Gerrill,6/15/1978
545,SE,10000,Almo,454,Vlad,Bicksteth,6/13/1982
546,ID,90000,Tennyson,9,Graham,Clacey,10/7/1981
547,BR,55264,Center,064,Friederike,Parmby,12/9/1986
548,CN,40000,Brickson Park,4480,Kelcey,Patterson,7/16/1982
549,SE,56290,Morrow,35354,Amil,Michiel,5/20/1989
550,SE,15500,Menomonie,68,Zebulon,Prowting,9/8/1983
551,CH,70000,Badeau,9,Scotty,Merrington,4/23/1982
552,BR,10000,Schiller,02,Ly,Deere,6/1/1976
553,CN,57000,Transport,215,Kynthia,Hawkswood,6/11/1989
554,JO,95000,Lien,405,Richart,Croisdall,10/29/1983
555,MR,30000,Del Sol,62,Mycah,Crumbie,5/18/1973
556,JO,59900,Hayes,02681,Ewan,Lindsley,3/25/1975
557,JO,40000,Hanover,1818,Burr,Slot,8/15/1981
558,CN,12000,Morrow,328,Artemas,Graeber,3/14/1975
559,PL,53000,Loeprich,5,Malinde,Yokel,1/27/1979
560,PL,97880,Green Ridge,84392,Kerwinn,Edington,12/22/1990
561,BO,23730,Stephen,92793,Lazaro,Dickman,2/24/1984
562,ID,48100,Haas,50978,Sergio,Tran,11/4/1976
563,PL,01732,Fordem,661,Sofia,Shepcutt,3/17/1987
564,ID,16818,Miller,50101,Gail,Wilsey,12/17/1985
565,MR,15000,Jenna,31,Danila,Spurling,4/28/1987
566,SE,25890,Transport,6731,Griffin,Rait,12/23/1985
567,MR,54670,South,6,Clarice,Merrick,11/11/1976
568,BO,96650,Sheridan,07651,Johnna,Sysland,2/4/1981
569,CN,87235,Hoard,8365,Ddene,Zannolli,8/22/1975
570,ID,74600,Moulton,12,Albina,Haps,8/20/1984
571,BO,90000,Rieder,360,Xenos,Patey,4/12/1982
572,CH,75600,Fieldstone,87,Carter,Barthrop,2/26/1980
573,MR,79000,Fairfield,8,Dagmar,Iglesia,2/21/1981
574,BO,91250,Fulton,68301,Eustacia,Grcic,12/15/1983
575,CH,80000,Anderson,09,Cyndy,Huckerby,7/30/1986
576,JO,11390,Helena,1578,Aluin,Seal,1/14/1987
577,MR,80000,Laurel,4,Shaine,Lowle,4/11/1974
578,SE,77300,Leroy,209,Edmon,Winwood,2/19/1975
579,ID,43000,Dahle,7,Hobart,Suche,2/20/1992
580,CN,71000,John Wall,1205,Thelma,McIlenna,3/17/1987
581,ID,42700,Arapahoe,38,Tobiah,Duguid,10/18/1976
582,PL,24317,Lunder,25042,Libbey,Yegorshin,5/8/1978
583,BR,36570,Gateway,26,Ermanno,Common,4/26/1989
584,MR,08150,North,7641,Dinny,Gorrissen,5/12/1988
585,CH,70000,4th,803,Izaak,Mordey,11/8/1992
586,ID,08200,Graceland,43,Lane,Feldbau,4/23/1985
587,CH,30000,Dennis,881,Duncan,Hyland,2/12/1979
588,JO,47700,Pankratz,44,Yurik,Sliney,4/16/1991
589,BO,91220,Golf Course,1,Moshe,Chipps,3/17/1974
590,ID,20530,Cascade,83634,Patrice,Cooch,9/7/1975
591,ID,81971,Golden Leaf,457,Tommie,Cloughton,10/31/1988
592,CN,53050,Dryden,32484,Nataline,Mansbridge,11/3/1987
593,MR,20000,Brown,04,Martie,Duesberry,5/18/1974
594,SE,14150,Hudson,3,Ynez,Gallimore,12/3/1991
595,ID,14849,Dovetail,1300,Avie,Onraet,9/19/1979
596,JO,23910,Mccormick,5,Rosalyn,Gianolini,2/7/1984
597,CN,10000,Northview,0926,Cointon,Durie,8/24/1974
598,BR,52000,Anzinger,7842,Lenka,Cadagan,4/2/1982
599,BR,10000,Sage,74,Jakie,Butland,2/22/1987
600,PL,58000,Oak,8083,Ashby,Crowne,10/15/1977
